id,name,agency,solicitation_number,outcome,docket_url,filed_date,due_date,date_decided,case_type,gao_attorney
58,"W K Engineering International, Inc.","Department of Defense : Defense Logistics Agency",SPE4A5-16-T-1566;SPE7M4-16-T-0666,Withdrawn,http://gao.gov/docket/B-412482.1,"Nov 23, 2015","Mar 2, 2016","Dec 9, 2015","Bid Protest","Paul N. Wengert"
59,"W K Engineering International, Inc.","Department of Defense : Defense Logistics Agency",SPE7M4-16-T-0666;SPE4A5-16-T-5859,Withdrawn,http://gao.gov/docket/B-412485.1,"Nov 23, 2015","Mar 2, 2016","Dec 9, 2015","Bid Protest","Paul N. Wengert"
60,"W K Engineering International, Inc.","Department of Defense : Defense Logistics Agency",SPE4A5-16-T-5375;SPE7M4-16-T-0666,Withdrawn,http://gao.gov/docket/B-412486.1,"Nov 23, 2015","Mar 2, 2016","Dec 9, 2015","Bid Protest","Paul N. Wengert"
61,"W K Engineering International, Inc.","Department of Defense : Defense Logistics Agency",SPE7M4-16-T-0709;SPE7M4-16-T-0666,Withdrawn,http://gao.gov/docket/B-412487.1,"Nov 23, 2015","Mar 2, 2016","Dec 9, 2015","Bid Protest","Paul N. Wengert"
62,"W K Engineering International, Inc.","Department of Defense : Defense Logistics Agency",SPE5EK-16-T-2054;SPE7M4-16-T-0666,Dismissed,http://gao.gov/docket/B-412484.1,"Nov 23, 2015","Mar 2, 2016","Nov 27, 2015","Bid Protest","Paul N. Wengert"
63,"Hoover Property Palmetto, LLC","Department of Agriculture",57-6395-17-001,Withdrawn,http://gao.gov/docket/B-412483.1,"Nov 20, 2015","Feb 29, 2016","Jan 4, 2016","Bid Protest","Stephanie B. Magnell"
64,"Priority One Services, Inc.","Department of Health and Human Services : Public Health Service : National Institutes of Health : National Library of Medicine",NIH-LM2014115,Dismissed,http://gao.gov/docket/B-410695.2,"Nov 20, 2015","Feb 29, 2016","Dec 17, 2015","Bid Protest","Lois Hanshaw"
65,"FitNet International Corporation","Department of the Air Force",FA4855-15-T-0062,Dismissed,http://gao.gov/docket/B-412313.2,"Nov 20, 2015","Feb 29, 2016","Dec 2, 2015","Bid Protest: Entitlement","Susan K. McAuliffe"
66,"Rooker Properties LLC","General Services Administration : Federal Acquisition Service","",Withdrawn,http://gao.gov/docket/B-412476.1,"Nov 20, 2015","Feb 29, 2016","Nov 24, 2015","Bid Protest","Robert T. Wu"
67,"Washington Technology Group, Inc.","Department of the Navy : Naval Sea Systems Command",N00024-14-R-3125,Dismissed,http://gao.gov/docket/B-412468.3,"Nov 19, 2015","Feb 29, 2016","Dec 29, 2015","Bid Protest","Kenneth Kilgour"
68,"Debcon Inc.","Department of the Army : Corps of Engineers",W912QR-15-R-0025,Dismissed,http://gao.gov/docket/B-412298.2,"Nov 19, 2015","Feb 29, 2016","Dec 15, 2015","Bid Protest","Paul N. Wengert"
69,"Shertech Pharmacy Piedmont, LLC","Department of Veterans Affairs",VA246-15-Q-0483,Dismissed,http://gao.gov/docket/B-412297.2,"Nov 19, 2015","Feb 29, 2016","Dec 9, 2015","Bid Protest","K. Nicole Willems"
70,"Medfinity LLC","Department of Veterans Affairs",VA249-15-Q-0709,Dismissed,http://gao.gov/docket/B-412066.2,"Nov 19, 2015","Feb 29, 2016","Dec 7, 2015","Bid Protest","Young S. Lee"
71,"Medfinity LLC","Department of Veterans Affairs",VA26015Q1132,Dismissed,http://gao.gov/docket/B-412192.2,"Nov 19, 2015","Feb 29, 2016","Nov 30, 2015","Bid Protest","Jennifer D. Westfall-McGrail"
72,"Delfasco, LLC","Department of the Army : U.S. Army Materiel Command",W52P1J-12-R-0147,Dismissed,http://gao.gov/docket/B-409514.6,"Nov 19, 2015","Feb 29, 2016","Nov 24, 2015","Bid Protest: Entitlement","Kenneth Kilgour"
73,"BBE Sales & Leasing, Inc.","Department of the Army","",Withdrawn,http://gao.gov/docket/B-412473.1,"Nov 19, 2015","Feb 29, 2016","Nov 24, 2015","Bid Protest","Paul N. Wengert"
74,"Latvian Connection, LLC","Department of Homeland Security : United States Customs and Border Protection",20089003,Dismissed,http://gao.gov/docket/B-412464.2,"Nov 18, 2015","Feb 26, 2016","Dec 30, 2015","Bid Protest: Reconsideration","Frank Maguire"
75,"Deloitte & Touche LLP","Department of Defense : Office of the Under Secretary for Personnel and Readiness : Defense Health Agency",HT0011-15-R-0029,Dismissed,http://gao.gov/docket/B-412283.2,"Nov 18, 2015","Feb 26, 2016","Dec 18, 2015","Bid Protest","Paula J. Haurilesko"
76,"Diligent Consulting, Inc.","Department of Transportation : Federal Highway Administration",DTFH70-15-R-00009,Withdrawn,http://gao.gov/docket/B-412472.1,"Nov 17, 2015","Feb 25, 2016","Nov 30, 2015","Bid Protest","Elizabeth Witwer"
77,"22nd Century Technologies, Inc.","Department of the Navy : Naval Sea Systems Command",N00024-14-R-3125,Withdrawn,http://gao.gov/docket/B-412468.2,"Nov 16, 2015","Feb 24, 2016","Dec 23, 2015","Bid Protest","Kenneth Kilgour"
78,"Alares LLC","Department of Veterans Affairs",VA241-15-R-0338,Dismissed,http://gao.gov/docket/B-412269.2,"Nov 16, 2015","Feb 24, 2016","Dec 23, 2015","Bid Protest","K. Nicole Willems"
79,"AeroSage LLC","Department of Defense : Defense Logistics Agency",SP0600-15-R-0211,Dismissed,http://gao.gov/docket/B-411750.3,"Nov 16, 2015","Feb 24, 2016","Dec 17, 2015","Bid Protest","Young S. Lee"
80,"CORTEK, Inc.","Department of the Navy : Naval Supply Systems Command",N00189-15-R-Z016,Sustained,http://gao.gov/docket/B-412047.3,"Nov 16, 2015","Feb 24, 2016","Dec 17, 2015","Bid Protest","Scott H. Riback"
81,"Red Mountain LLC","Department of the Army","",Dismissed,http://gao.gov/docket/B-412463.1,"Nov 16, 2015","Feb 24, 2016","Dec 11, 2015","Bid Protest","Paul N. Wengert"
82,"Thales Defense & Security, Inc.","Department of the Air Force",H92222-14-R-0017,Dismissed,http://gao.gov/docket/B-412251.3,"Nov 16, 2015","Feb 24, 2016","Dec 8, 2015","Bid Protest","Noah B. Bleicher"
83,"Northstar Engineering Corporation","Department of Defense : Defense Logistics Agency",SPE4A7-15-R-1779,Dismissed,http://gao.gov/docket/B-412469.1,"Nov 16, 2015","Feb 24, 2016","Dec 3, 2015","Bid Protest","Louis A. Chiarella"
84,"Deloitte Consulting, LLP","Department of the Interior",D15PS00160,Withdrawn,http://gao.gov/docket/B-411583.4,"Nov 16, 2015","Feb 24, 2016","Dec 3, 2015","Bid Protest","Louis A. Chiarella"
85,"NaphCare, Inc.","Department of Justice : Bureau of Prisons",RFP-P03021500001,Dismissed,http://gao.gov/docket/B-412467.1,"Nov 16, 2015","Feb 24, 2016","Nov 30, 2015","Bid Protest","Charles W. Morrow"
86,"SSI Technology, Inc.","Department of Defense : Defense Logistics Agency",SPE4A6-15-T-Y446,Dismissed,http://gao.gov/docket/B-412470.1,"Nov 16, 2015","Feb 24, 2016","Nov 25, 2015","Bid Protest","Lois Hanshaw"
87,"SSI Technology, Inc.","Department of Defense : Defense Logistics Agency",SPE4A6-15-T-JC15,Dismissed,http://gao.gov/docket/B-412471.1,"Nov 16, 2015","Feb 24, 2016","Nov 25, 2015","Bid Protest","Evan D. Wesser"
88,"AeroSage LLC","Department of Defense : Defense Logistics Agency",SPO600-13-R-0238,Dismissed,http://gao.gov/docket/B-411666.3,"Nov 16, 2015","Feb 24, 2016","Nov 25, 2015","Bid Protest","K. Nicole Willems"
89,"Latvian Connection, LLC","Department of Homeland Security : United States Customs and Border Protection",20089003,Dismissed,http://gao.gov/docket/B-412464.1,"Nov 16, 2015","Feb 24, 2016","Nov 18, 2015","Bid Protest","Paul N. Wengert"
90,"NMR Consulting, Inc.","Department of the Army",PKH-15-21746,Dismissed,http://gao.gov/docket/B-412460.1,"Nov 13, 2015","Feb 22, 2016","Dec 15, 2015","Bid Protest","Scott H. Riback"
91,"Sea Box, Inc.","Department of Defense : Defense Logistics Agency",SPE8ED-16-Q-0111,Dismissed,http://gao.gov/docket/B-412466.1,"Nov 13, 2015","Feb 22, 2016","Dec 4, 2015","Bid Protest","Elizabeth Witwer"
92,"Waste Control Systems, Inc.","Department of Defense : Defense Logistics Agency",SPE4A6-15-T-LR90,Withdrawn,http://gao.gov/docket/B-412461.1,"Nov 13, 2015","Feb 22, 2016","Dec 3, 2015","Bid Protest","Frank Maguire"
93,"Draughn & Associates","Department of Homeland Security : Transportation Security Administration",HSTS01-15-CRL013,Dismissed,http://gao.gov/docket/B-412462.1,"Nov 13, 2015","Feb 22, 2016","Nov 24, 2015","Bid Protest","Pedro E. Briones"
94,"L-3 Communications-Communications Systems West","Department of the Navy : Space and Naval Warfare Systems Command",N00039-16-R-0012,Withdrawn,http://gao.gov/docket/B-412465.1,"Nov 13, 2015","Feb 22, 2016","Nov 18, 2015","Bid Protest","Christina Sklarew"
95,"Bluehorse Corporation","Department of Health and Human Services : Public Health Service : Indian Health Service",HHSI2412015000648P,Dismissed,http://gao.gov/docket/B-412457.1,"Nov 12, 2015","Feb 22, 2016","Dec 18, 2015","Bid Protest","Charles W. Morrow"
96,"BAE Systems Technology Solutions and Services, Inc.","Department of the Army : U.S. Army Materiel Command",W911QY-14-R-0056,Dismissed,http://gao.gov/docket/B-411810.2,"Nov 12, 2015","Feb 22, 2016","Dec 17, 2015","Bid Protest","Evan D. Wesser"
97,"Environmental Tectonics Corporation","Department of Health and Human Services : Public Health Service : National Institutes of Health",NIH-OD-OLAO-RFQ3828504,Dismissed,http://gao.gov/docket/B-412458.1,"Nov 12, 2015","Feb 22, 2016","Dec 7, 2015","Bid Protest","Noah B. Bleicher"
98,"CC Distributors, Inc.","Department of the Air Force",FA4613-14-R-0005,Dismissed,http://gao.gov/docket/B-412416.2,"Nov 12, 2015","Feb 22, 2016","Dec 1, 2015","Bid Protest","Peter D. Verchinski"
99,"National Associates, Inc.","Department of Housing and Urban Development",RCS-B-15-00022,Dismissed,http://gao.gov/docket/B-412091.2,"Nov 12, 2015","Feb 22, 2016","Nov 24, 2015","Bid Protest","Elizabeth Witwer"
100,"Cellebrite Inc.","Department of Homeland Security : United States Secret Service",HSSS01-15-R-0055,Dismissed,http://gao.gov/docket/B-412225.2,"Nov 12, 2015","Feb 22, 2016","Nov 19, 2015","Bid Protest","Paula J. Haurilesko"
101,"Computational Diagnostics, Inc.","Department of Veterans Affairs",VA244-15-R-0093,Dismissed,http://gao.gov/docket/B-412455.1,"Nov 12, 2015","Feb 22, 2016","Nov 16, 2015","Bid Protest","Paul N. Wengert"
102,"JEOL USA, Inc.","Government Publishing Office",GPO-32174,Dismissed,http://gao.gov/docket/B-412452.1,"Nov 10, 2015","Feb 18, 2016","Dec 28, 2015","Bid Protest","Kenneth Kilgour"
103,"James Dean Paving","Department of the Air Force",FA8751-15-R-0022,Dismissed,http://gao.gov/docket/B-412454.1,"Nov 10, 2015","Feb 18, 2016","Dec 8, 2015","Bid Protest","Scott H. Riback"
104,"MSE Technology Applications, Inc.","Department of the Army : U.S. Army Materiel Command",W52P1J-14-R-0076,Dismissed,http://gao.gov/docket/B-412238.2,"Nov 9, 2015","Feb 17, 2016","Dec 15, 2015","Bid Protest","Peter D. Verchinski"
105,"Latvian Connection, LLC","Department of Veterans Affairs",VA248-15-Q-2100,Dismissed,http://gao.gov/docket/B-412446.1,"Nov 9, 2015","Feb 17, 2016","Dec 11, 2015","Bid Protest","Brent Burris"
106,"Express Computers","Department of the Navy : Naval Air Systems Command",N6893616T0033,Dismissed,http://gao.gov/docket/B-412447.1,"Nov 9, 2015","Feb 17, 2016","Dec 2, 2015","Bid Protest","Lois Hanshaw"
107,"New Biz Opportunities Consulting","Department of Defense : Defense Logistics Agency",SPE7M5-15-T-A866,Withdrawn,http://gao.gov/docket/B-412448.1,"Nov 9, 2015","Feb 17, 2016","Nov 25, 2015","Bid Protest","K. Nicole Willems"
108,"Latvian Connection, LLC","Department of Defense : Defense Logistics Agency",SPE7M515TD117,Dismissed,http://gao.gov/docket/B-412445.1,"Nov 9, 2015","Feb 17, 2016","Nov 24, 2015","Bid Protest","Louis A. Chiarella"
109,"Dev Technology Group","Department of Homeland Security : United States Citizenship and Immigration Services",HSSCCG-15-R-00003,Denied,http://gao.gov/docket/B-412163.5,"Nov 6, 2015","Feb 16, 2016","Jan 4, 2016","Bid Protest","Matthew T. Crosby"
110,"Computer Sciences Corporation","Department of Homeland Security : United States Citizenship and Immigration Services",HSSCCG-15-R-00003,Denied,http://gao.gov/docket/B-412163.4,"Nov 6, 2015","Feb 16, 2016","Jan 4, 2016","Bid Protest","Matthew T. Crosby"
111,"TNT Premier Partnership","Department of the Army",W9124Q-15-R-0011,Dismissed,http://gao.gov/docket/B-412020.11,"Nov 6, 2015","Feb 16, 2016","Dec 8, 2015","Bid Protest","Paula J. Haurilesko"
112,"IDA Technology","Department of the Army",W9124Q-15-R-0011,Dismissed,http://gao.gov/docket/B-412020.10,"Nov 6, 2015","Feb 16, 2016","Dec 8, 2015","Bid Protest","Paula J. Haurilesko"
113,"PCG Enterprises, Inc.","Department of the Treasury : Internal Revenue Service",X-5-X0-0C-MW-C04,Dismissed,http://gao.gov/docket/B-412444.1,"Nov 6, 2015","Feb 16, 2016","Dec 7, 2015","Bid Protest","Katherine I. Riback"
114,"Encompass Group, LLC","Department of Veterans Affairs",VA119-16-Q-0011,Withdrawn,http://gao.gov/docket/B-412443.1,"Nov 6, 2015","Feb 16, 2016","Nov 13, 2015","Bid Protest","Evan D. Wesser"
115,"TEST Engineering Strategic Technologies, LLC","Department of the Army",W9124Q-15-R-0011,Dismissed,http://gao.gov/docket/B-412020.9,"Nov 5, 2015","Feb 16, 2016","Dec 8, 2015","Bid Protest","Paula J. Haurilesko"
116,"Miami Cordage","Department of Defense : Defense Logistics Agency","",Dismissed,http://gao.gov/docket/B-412440.1,"Nov 5, 2015","Feb 16, 2016","Nov 30, 2015","Bid Protest","Susan K. McAuliffe"
117,"SSI Technology, Inc.","Department of Defense : Defense Logistics Agency",SPE4A6-15-T-KM84,Dismissed,http://gao.gov/docket/B-412439.1,"Nov 5, 2015","Feb 16, 2016","Nov 17, 2015","Bid Protest","Paul N. Wengert"
